results_studies_id,results_id,results_position,results_queries_id,results_url,results_main,results_se,hash
53,670070,1,3620,"Migranten Gersthofen","https://www.augsburger-allgemeine.de/schwabmuenchen/In-Gersthofen-leben-die-meisten-Auslaender-im-Landkreis-id8634206.html",https://www.augsburger-allgemeine.de/,Google
53,670071,2,3620,"Migranten Gersthofen","https://www.augsburger-allgemeine.de/augsburg-land/Platz-fuer-110-Asylbewerber-id33514182.html",https://www.augsburger-allgemeine.de/,Google
53,670072,3,3620,"Migranten Gersthofen","https://www.landkreis-augsburg.de/asyl-auslaenderwesen-integration/amt-fuer-auslaenderwesen-und-integration/",https://www.landkreis-augsburg.de/,Google
53,670073,4,3620,"Migranten Gersthofen","https://www.landkreis-augsburg.de/index.php?id=2809",https://www.landkreis-augsburg.de/,Google
53,670074,5,3620,"Migranten Gersthofen","https://www.diakonie-augsburg.de/de/asyl-vierk-pfiges-diakonieteam-hilft-fl-chtlingen",https://www.diakonie-augsburg.de/,Google
53,670075,6,3620,"Migranten Gersthofen","https://www.diakonie-augsburg.de/sites/default/files/downloads/2017_10_26_FlyerAsylMigration_web.pdf",https://www.diakonie-augsburg.de/,Google
53,670076,7,3620,"Migranten Gersthofen","https://www.br.de/extra/bayern-feiern-freistaat-und-verfassung-jubilaeum/wir-sind-bayern-gs-paul-klee-gersthofen-102.html",https://www.br.de/,Google
53,670077,8,3620,"Migranten Gersthofen","https://www.der-sozialmarkt.de/hilfe-beratung/sozialzentrum-gersthofen/sozialzentrum-gersthofen",https://www.der-sozialmarkt.de/,Google
53,670078,9,3620,"Migranten Gersthofen","https://www.bildungsportal-a3.de/infothek/bildung-und-integration-im-landkreis-augsburg/",https://www.bildungsportal-a3.de/,Google
53,670079,10,3620,"Migranten Gersthofen","https://www.staz.de/region/gersthofen/sport/fussball-ohne-grenzen-id65027.html",https://www.staz.de/,Google
53,670080,11,3620,"Migranten Gersthofen","https://www.augsburg.de/buergerservice-rathaus/willkommen/vielfalt-leben/interkulturelle-treffpunkte",https://www.augsburg.de/,Google
53,670081,12,3620,"Migranten Gersthofen","https://www.gersthofen.de/seite/posts/eine-helfende-hand---buerger-helfen-buergern-199.php",https://www.gersthofen.de/,Google
53,670082,13,3620,"Migranten Gersthofen","https://www.caritas.de/adressen/oekumenische-sozialstation-gersthofen-und-umgebung/ambulanter-dienststandorte-gersthofen-und-zweignie/86368-gersthofen/72115",https://www.caritas.de/,Google
